Order ID,Order Date,Months,Customer Name,Region,Category,Product,Quantity,Unit Price,Sales,Sales Check,Profit,Payment Method
ORD0081,2026-07-12 00:00:00,July,Ravindu Fernando,Central,Electronics,Headphones,6,19598.72,117592.32,117592.32,24409.1,Cash
ORD0082,2026-01-14 00:00:00,January,Sahan Kumara,Uva,Accessories,Webcam,4,13833.31,55333.24,55333.24,6466.95,Cash
ORD0083,2026-01-14 00:00:00,January,Amaya Fernando,Southern,Electronics,Monitor,4,50314.9,201259.6,201259.6,41437.17,Bank Transfer
ORD0084,2026-06-02 00:00:00,June,Chamod Senanayake,Northern,Electronics,Smartphone,1,96103.39,96103.39,96103.39,15687.42,Online
ORD0085,2026-03-20 00:00:00,March,Chamod Senanayake,Western,Stationery,File Folder,3,750.42,2251.26,2251.26,625.86,Cash
ORD0086,2026-02-14 00:00:00,February,Nethmi Wijesinghe,Central,Home,Desk,3,67085.57,201256.71,201256.71,22422.3,Card
ORD0087,2026-01-09 00:00:00,January,Dilan Jayasinghe,Eastern,Electronics,Monitor,4,57083.08,228332.32,228332.32,39725.83,Bank Transfer
ORD0088,2026-07-22 00:00:00,July,Chamod Senanayake,Northern,Stationery,Notebook,6,1136.02,6816.12,6816.12,905.94,Online
ORD0089,2026-02-06 00:00:00,February,Nimali Silva,Western,Electronics,Smartphone,6,88330.8,529984.8,529984.8,70555.02,Card
ORD0090,2026-06-29 00:00:00,June,Piumi Silva,Eastern,Accessories,USB Cable,4,2312.18,9248.72,9248.72,2013.78,Online
ORD0091,2026-03-24 00:00:00,March,Chamod Senanayake,Eastern,Stationery,Notebook,5,1089.57,5447.85,5447.85,906.55,Cash
ORD0092,2026-01-06 00:00:00,January,Sahan Kumara,Western,Electronics,Smartphone,6,101383.21,608299.26,608299.26,118642.58,Card
ORD0093,2026-06-12 00:00:00,June,Ravindu Fernando,Central,Stationery,File Folder,3,655.41,1966.23,1966.23,387.48,Online
ORD0094,2026-02-11 00:00:00,February,Tharushi Perera,North Central,Accessories,Webcam,3,13498.96,40496.88,40496.88,4086.94,Online
ORD0095,2026-03-06 00:00:00,March,Tharushi Perera,Central,Accessories,Webcam,5,12702.75,63513.75,63513.75,6199.7,Online
ORD0096,2026-06-09 00:00:00,June,Ravindu Fernando,Uva,Electronics,Monitor,4,50096.24,200384.96,200384.96,36808.29,Cash
ORD0097,2026-08-14 00:00:00,August,Ravindu Fernando,Central,Home,Table Lamp,5,7872.72,39363.6,39363.6,5416.66,Cash
ORD0098,2026-01-24 00:00:00,January,Dilan Jayasinghe,Central,Home,Desk,3,65660.91,196982.73,196982.73,37515.42,Online
ORD0099,2026-06-30 00:00:00,June,Sahan Kumara,North Central,Electronics,Smartphone,4,103220.41,412881.64,412881.64,57131.39,Online
ORD0100,2026-06-03 00:00:00,June,Nethmi Wijesinghe,Southern,Stationery,Pen Set,4,909.23,3636.92,3636.92,569.97,Cash
ORD0101,2026-07-30 00:00:00,July,Kasun Perera,Eastern,Accessories,Webcam,3,15215.9,45647.7,45647.7,8287.23,Bank Transfer
ORD0102,2026-05-22 00:00:00,May,Nethmi Wijesinghe,North Central,Stationery,Pen Set,4,906.94,3627.76,3627.76,540.63,Online
ORD0103,2026-08-08 00:00:00,August,Piumi Silva,Western,Accessories,Mouse,6,6160.45,36962.7,36962.7,5788.14,Bank Transfer
ORD0104,2026-06-16 00:00:00,June,Amaya Fernando,Uva,Stationery,File Folder,4,768.38,3073.52,3073.52,732.97,Cash
ORD0105,2026-05-15 00:00:00,May,Ravindu Fernando,Western,Home,Table Lamp,1,9136.12,9136.12,9136.12,1535.43,Card
ORD0106,2026-03-28 00:00:00,March,Chamod Senanayake,North Central,Stationery,Pen Set,1,894.51,894.51,894.51,244.95,Cash
ORD0107,2026-05-05 00:00:00,May,Nethmi Wijesinghe,Western,Accessories,Webcam,3,14355.04,43065.12,43065.12,11088.74,Cash
ORD0108,2026-01-26 00:00:00,January,Nimali Silva,Uva,Home,Table Lamp,2,8919.5,17839,17839,2975.44,Card
ORD0109,2026-04-02 00:00:00,April,Tharushi Perera,North Central,Accessories,Keyboard,1,11578.5,11578.5,11578.5,1056.24,Card
ORD0110,2026-02-14 00:00:00,February,Nimali Silva,North Central,Home,Bookshelf,5,31090.8,155454,155454,18034.43,Card
ORD0111,2026-03-07 00:00:00,March,Kasun Perera,Uva,Stationery,Pen Set,2,893.01,1786.02,1786.02,233.6,Bank Transfer
ORD0112,2026-03-18 00:00:00,March,Piumi Silva,Eastern,Home,Office Chair,4,45739.98,182959.92,182959.92,50776.93,Online
ORD0113,2026-04-08 00:00:00,April,Chamod Senanayake,North Western,Accessories,Mouse,4,6959.34,27837.36,27837.36,2820.78,Bank Transfer
ORD0114,2026-08-10 00:00:00,August,Kasun Perera,Uva,Accessories,Keyboard,6,11749.93,70499.58,70499.58,5754.15,Bank Transfer
ORD0115,2026-06-23 00:00:00,June,Amaya Fernando,Central,Home,Table Lamp,2,8732.25,17464.5,17464.5,3565.87,Cash
ORD0116,2026-01-24 00:00:00,January,Sahan Kumara,North Western,Accessories,Webcam,1,14222.81,14222.81,14222.81,3221.07,Online
ORD0117,2026-04-04 00:00:00,April,Nethmi Wijesinghe,Sabaragamuwa,Home,Desk,2,68724.67,137449.34,137449.34,35089.73,Bank Transfer
ORD0118,2026-08-11 00:00:00,August,Tharushi Perera,Central,Home,Table Lamp,4,9294.55,37178.2,37178.2,5168.82,Online
ORD0119,2026-04-12 00:00:00,April,Nethmi Wijesinghe,North Western,Electronics,Smartphone,2,101842.67,203685.34,203685.34,45797.29,Cash
ORD0120,2026-06-22 00:00:00,June,Sahan Kumara,North Central,Stationery,Notebook,3,1208.78,3626.34,3626.34,619.95,Bank Transfer
ORD0121,2026-05-24 00:00:00,May,Tharushi Perera,Northern,Electronics,Smartphone,4,85975.47,343901.88,343901.88,88330.16,Cash
ORD0122,2026-01-10 00:00:00,January,Sahan Kumara,Uva,Stationery,Planner,6,1766.99,10601.94,10601.94,1144.54,Cash
ORD0123,2026-06-21 00:00:00,June,Nethmi Wijesinghe,North Central,Electronics,Smartphone,5,88077.62,440388.1,440388.1,75186.91,Card
ORD0124,2026-03-13 00:00:00,March,Kasun Perera,North Western,Stationery,Notebook,4,1227.76,4911.04,4911.04,1315.23,Card
ORD0125,2026-06-25 00:00:00,June,Tharushi Perera,Sabaragamuwa,Stationery,File Folder,2,749.76,1499.52,1499.52,149.76,Bank Transfer
ORD0126,2026-08-06 00:00:00,August,Ravindu Fernando,Central,Electronics,Monitor,3,51587.89,154763.67,154763.67,16162.27,Card
ORD0127,2026-05-25 00:00:00,May,Dilan Jayasinghe,Central,Electronics,Laptop,3,170768.48,512305.44,512305.44,53886.73,Card
ORD0128,2026-06-02 00:00:00,June,Kasun Perera,Eastern,Home,Desk,3,68566.79,205700.37,205700.37,48900.89,Card
ORD0129,2026-02-03 00:00:00,February,Kasun Perera,North Western,Home,Table Lamp,2,7836.87,15673.74,15673.74,3969.99,Card
ORD0130,2026-04-18 00:00:00,April,Nethmi Wijesinghe,Central,Accessories,Keyboard,2,11436.88,22873.76,22873.76,2409.79,Cash
ORD0131,2026-05-09 00:00:00,May,Dilan Jayasinghe,Western,Stationery,File Folder,3,701.85,2105.55,2105.55,214.37,Bank Transfer
ORD0132,2026-04-20 00:00:00,April,Nimali Silva,Uva,Stationery,Notebook,1,1319.66,1319.66,1319.66,329.2,Online
ORD0133,2026-03-12 00:00:00,March,Chamod Senanayake,Sabaragamuwa,Electronics,Laptop,3,183898.71,551696.13,551696.13,51383.02,Bank Transfer
ORD0134,2026-07-23 00:00:00,July,Nimali Silva,Sabaragamuwa,Stationery,Planner,4,1802,7208,7208,1196.82,Card
ORD0135,2026-04-13 00:00:00,April,Piumi Silva,Central,Stationery,File Folder,2,687.93,1375.86,1375.86,337.75,Bank Transfer
ORD0136,2026-06-25 00:00:00,June,Ravindu Fernando,Central,Stationery,Planner,6,1711.76,10270.56,10270.56,2780.43,Cash
ORD0137,2026-07-27 00:00:00,July,Amaya Fernando,Sabaragamuwa,Electronics,Laptop,4,165476.32,661905.28,661905.28,150755.02,Cash
ORD0138,2026-07-12 00:00:00,July,Piumi Silva,Western,Accessories,Keyboard,4,11648.64,46594.56,46594.56,9927.81,Bank Transfer
ORD0139,2026-06-18 00:00:00,June,Ravindu Fernando,Northern,Accessories,USB Cable,1,2538.96,2538.96,2538.96,311.14,Cash
ORD0140,2026-07-26 00:00:00,July,Piumi Silva,Sabaragamuwa,Accessories,USB Cable,1,2631.3,2631.3,2631.3,512.63,Cash
ORD0141,2026-03-28 00:00:00,March,Tharushi Perera,Western,Accessories,Keyboard,2,11455.85,22911.7,22911.7,5326.56,Card
ORD0142,2026-01-08 00:00:00,January,Nimali Silva,Sabaragamuwa,Home,Bookshelf,1,27851.25,27851.25,27851.25,5755.03,Card
ORD0143,2026-07-04 00:00:00,July,Tharushi Perera,Central,Stationery,File Folder,4,677.73,2710.92,2710.92,417.51,Cash
ORD0144,2026-04-24 00:00:00,April,Piumi Silva,Uva,Home,Desk,5,59146.91,295734.55,295734.55,28484.06,Online
ORD0145,2026-04-21 00:00:00,April,Nimali Silva,Eastern,Stationery,Planner,2,1891.78,3783.56,3783.56,388.81,Online
ORD0146,2026-01-02 00:00:00,January,Dilan Jayasinghe,Eastern,Accessories,Keyboard,2,11748.63,23497.26,23497.26,4696.28,Card
ORD0147,2026-07-11 00:00:00,July,Piumi Silva,Southern,Home,Table Lamp,3,8207.81,24623.43,24623.43,2007.94,Card
ORD0148,2026-04-01 00:00:00,April,Nimali Silva,North Central,Stationery,Pen Set,5,910.57,4552.85,4552.85,972.53,Cash
ORD0149,2026-05-28 00:00:00,May,Piumi Silva,North Central,Stationery,Notebook,4,1301.08,5204.32,5204.32,1313.68,Online
ORD0150,2026-07-25 00:00:00,July,Chamod Senanayake,Uva,Accessories,Keyboard,4,10850.06,43400.24,43400.24,6291.02,Bank Transfer
